timestamp,city,aqi,pm25,pm10,no2,co,o3,so2,nh3,temperature,humidity,pressure,wind_speed
2026-04-23 08:11:16,Karachi,3,33.04,84.4,0.05,104.24,50.32,0.32,0,28.72,70,1007,7.7
2026-04-23 09:20:03,Karachi,3,33.06,83.66,0.05,103.99,49.36,0.32,0,34.07,36,1007,5.14
2026-04-23 11:02:14,Karachi,3,33.31,82.89,0.06,104.18,48.25,0.31,0,28.51,69,1006,7.86
2026-04-23 13:08:23,Karachi,3,33.69,82.51,0.09,104.38,48.21,0.33,0,31.07,48,1006,6.17
2026-04-23 15:12:14,Karachi,3,33.47,79.42,0.12,106.09,49.77,0.31,0,28.07,69,1007,5.66
2026-04-23 15:46:15,Karachi,3,33.49,79.04,0.12,106.07,49.43,0.29,0,28.07,74,1007,4.12
2026-04-23 17:12:15,Karachi,3,33.58,79.09,0.11,106.21,49.15,0.29,0,28.07,74,1008,6.17
